,dato,fecha
199,16.48990,2015-10-19
200,16.56180,2015-10-20
201,16.66000,2015-10-21
202,16.52840,2015-10-22
203,16.51380,2015-10-23
204,16.49980,2015-10-26
205,16.55450,2015-10-27
206,16.45030,2015-10-28
207,16.62190,2015-10-29
208,16.52440,2015-10-30
209,16.41960,2015-11-03
210,16.51470,2015-11-04
211,16.59590,2015-11-05
212,16.83820,2015-11-06
213,16.87000,2015-11-09
214,16.76580,2015-11-10
215,16.71730,2015-11-11
216,16.74060,2015-11-12
217,16.73950,2015-11-13
218,16.75700,2015-11-17
219,16.76360,2015-11-18
220,16.57480,2015-11-19
221,16.51200,2015-11-20
222,16.53060,2015-11-23
223,16.47050,2015-11-24
224,16.55480,2015-11-25
225,16.54920,2015-11-26
226,16.57840,2015-11-27
227,16.58560,2015-11-30
228,16.51040,2015-12-01
229,16.59330,2015-12-02
230,16.70950,2015-12-03
231,16.67570,2015-12-04
232,16.90440,2015-12-07
233,17.01640,2015-12-08
234,17.01600,2015-12-09
235,17.07500,2015-12-10
236,17.35920,2015-12-11
237,17.37760,2015-12-14
238,17.15290,2015-12-15
239,17.13600,2015-12-16
240,17.10000,2015-12-17
241,17.01390,2015-12-18
242,17.10340,2015-12-21
243,17.18470,2015-12-22
244,17.19530,2015-12-23
245,17.27600,2015-12-24
246,17.27100,2015-12-28
247,17.20650,2015-12-29
248,17.33980,2015-12-30
249,17.24870,2015-12-31
250,17.35290,2016-01-04
251,17.34560,2016-01-05
252,17.44110,2016-01-06
253,17.65680,2016-01-07
254,17.92830,2016-01-08
255,17.93040,2016-01-11
256,17.91190,2016-01-12
257,17.85000,2016-01-13
258,17.91210,2016-01-14
259,18.21080,2016-01-15
260,18.23270,2016-01-18
261,18.19470,2016-01-19
262,18.60800,2016-01-20
263,18.50840,2016-01-21
264,18.42800,2016-01-22
265,18.53520,2016-01-25
266,18.47150,2016-01-26
267,18.45300,2016-01-27
268,18.29060,2016-01-28
269,18.19350,2016-01-29
270,18.49020,2016-02-02
271,18.45370,2016-02-03
272,18.18910,2016-02-04
273,18.37480,2016-02-05
274,18.69590,2016-02-08
275,18.78180,2016-02-09
276,18.80890,2016-02-10
277,19.17540,2016-02-11
278,19.03920,2016-02-12
279,18.84710,2016-02-15
280,18.81480,2016-02-16
281,18.38950,2016-02-17
282,18.14390,2016-02-18
283,18.27620,2016-02-19
284,18.05680,2016-02-22
285,18.19480,2016-02-23
286,18.28930,2016-02-24
287,18.16800,2016-02-25
288,18.17060,2016-02-26
289,18.10200,2016-02-29
290,17.94320,2016-03-01
291,17.85610,2016-03-02
292,17.89710,2016-03-03
293,17.77230,2016-03-04
294,17.75260,2016-03-07
295,17.90440,2016-03-08
296,17.75230,2016-03-09
297,17.86010,2016-03-10
298,17.70020,2016-03-11
299,17.76910,2016-03-14
300,17.92600,2016-03-15
301,17.93080,2016-03-16
302,17.40340,2016-03-17
303,17.29950,2016-03-18
304,17.33610,2016-03-22
305,17.52730,2016-03-23
306,17.46100,2016-03-28
307,17.40150,2016-03-29
308,17.25090,2016-03-30
309,17.23700,2016-03-31
310,17.33380,2016-04-01
311,17.44840,2016-04-04
312,17.72520,2016-04-05
313,17.72860,2016-04-06
314,17.89300,2016-04-07
315,17.73910,2016-04-08
316,17.64520,2016-04-11
317,17.57190,2016-04-12
318,17.49000,2016-04-13
319,17.38800,2016-04-14
320,17.56690,2016-04-15
321,17.45980,2016-04-18
322,17.28250,2016-04-19
323,17.30780,2016-04-20
324,17.42020,2016-04-21
325,17.43590,2016-04-22
326,17.58660,2016-04-25
327,17.42980,2016-04-26
328,17.39930,2016-04-27
329,17.21250,2016-04-28
330,17.17670,2016-04-29
331,17.22790,2016-05-02
332,17.52340,2016-05-03
333,17.73580,2016-05-04
334,17.78660,2016-05-05
335,17.92040,2016-05-06
336,18.10330,2016-05-09
337,18.02050,2016-05-10
338,17.95490,2016-05-11
339,17.99150,2016-05-12
340,18.15620,2016-05-13
341,18.17950,2016-05-16
342,18.32170,2016-05-17
343,18.37610,2016-05-18
344,18.54650,2016-05-19
345,18.38260,2016-05-20
346,18.44440,2016-05-23
347,18.46940,2016-05-24
348,18.45200,2016-05-25
349,18.45720,2016-05-26
350,18.45270,2016-05-27
351,18.47770,2016-05-30
352,18.41180,2016-05-31
353,18.52990,2016-06-01
354,18.60970,2016-06-02
355,18.62830,2016-06-03
356,18.58890,2016-06-06
357,18.50670,2016-06-07
358,18.14910,2016-06-08
359,18.27420,2016-06-09
360,18.50460,2016-06-10
361,18.79150,2016-06-13
362,18.98140,2016-06-14
363,18.86720,2016-06-15
364,18.99680,2016-06-16
365,18.85270,2016-06-17
366,18.65590,2016-06-20
367,18.64440,2016-06-21
368,18.53250,2016-06-22
369,18.32070,2016-06-23
370,18.87160,2016-06-24
371,19.12830,2016-06-27
372,18.91130,2016-06-28
373,18.55500,2016-06-29
374,18.46460,2016-06-30
375,18.30900,2016-07-01
376,18.38580,2016-07-04
377,18.75360,2016-07-05
378,18.81610,2016-07-06
379,18.86070,2016-07-07
380,18.59910,2016-07-08
381,18.45970,2016-07-11
382,18.30060,2016-07-12
383,18.39370,2016-07-13
384,18.30610,2016-07-14
385,18.49200,2016-07-15
386,18.48790,2016-07-18
387,18.57190,2016-07-19
388,18.57290,2016-07-20
389,18.60220,2016-07-21
390,18.60890,2016-07-22
391,18.75690,2016-07-25
392,18.81140,2016-07-26
393,18.86020,2016-07-27
394,18.89790,2016-07-28
395,18.78370,2016-07-29
396,18.85040,2016-08-01
397,18.89660,2016-08-02
398,18.91170,2016-08-03
399,18.86120,2016-08-04
400,18.86910,2016-08-05
401,18.57160,2016-08-08
402,18.38420,2016-08-09
403,18.34790,2016-08-10
404,18.26780,2016-08-11
405,18.24550,2016-08-12
406,18.03630,2016-08-15
407,17.98690,2016-08-16
408,18.25980,2016-08-17
409,18.08320,2016-08-18
410,18.26740,2016-08-19
411,18.30230,2016-08-22
412,18.32020,2016-08-23
413,18.49710,2016-08-24
414,18.44600,2016-08-25
415,18.28300,2016-08-26
416,18.57730,2016-08-29
417,18.79530,2016-08-30
418,18.86110,2016-08-31
419,18.85230,2016-09-01
420,18.65890,2016-09-02
421,18.55810,2016-09-05
422,18.35240,2016-09-06
423,18.36890,2016-09-07
424,18.54270,2016-09-08
425,18.84510,2016-09-09
426,19.06460,2016-09-12
427,19.15200,2016-09-13
428,19.22750,2016-09-14
429,19.25140,2016-09-15
430,19.60970,2016-09-19
431,19.77700,2016-09-20
432,19.83940,2016-09-21
433,19.59650,2016-09-22
434,19.72110,2016-09-23
435,19.83220,2016-09-26
436,19.50440,2016-09-27
437,19.50020,2016-09-28
438,19.40860,2016-09-29
439,19.37760,2016-09-30
440,19.32110,2016-10-03
441,19.21380,2016-10-04
442,19.25540,2016-10-05
443,19.24330,2016-10-06
444,19.29940,2016-10-07
445,18.87860,2016-10-10
446,18.95310,2016-10-11
447,18.96220,2016-10-12
448,19.03990,2016-10-13
449,19.00460,2016-10-14
450,18.87230,2016-10-17
451,18.67260,2016-10-18
452,18.58940,2016-10-19
453,18.59450,2016-10-20
454,18.64810,2016-10-21
455,18.56580,2016-10-24
456,18.51470,2016-10-25
457,18.64850,2016-10-26
458,18.84430,2016-10-27
459,18.73040,2016-10-28
460,18.88870,2016-10-31
461,19.13060,2016-11-01
462,19.20140,2016-11-03
463,19.07920,2016-11-04
464,18.61920,2016-11-07
465,18.50890,2016-11-08
466,19.92500,2016-11-09
467,20.48120,2016-11-10
468,21.05110,2016-11-11
469,20.87290,2016-11-14
470,20.34900,2016-11-15
471,20.28840,2016-11-16
472,20.18980,2016-11-17
473,20.41930,2016-11-18
474,20.52050,2016-11-22
475,20.69010,2016-11-23
476,20.70510,2016-11-24
