peso_mex,date
18.2906,28/01/2016
18.1935,29/01/2016
18.4902,02/02/2016
18.4537,02/03/2016
18.1891,02/04/2016
18.3748,02/05/2016
18.6959,02/08/2016
18.7818,02/09/2016
18.8089,02/10/2016
19.1754,02/11/2016
19.0392,02/12/2016
18.8471,15/02/2016
18.8148,16/02/2016
18.3895,17/02/2016
18.1439,18/02/2016
18.2762,19/02/2016
18.0568,22/02/2016
18.1948,23/02/2016
18.2893,24/02/2016
18.168,25/02/2016
18.1706,26/02/2016
18.102,29/02/2016
17.9432,03/01/2016
17.8561,03/02/2016
17.8971,03/03/2016
17.7723,03/04/2016
17.7526,03/07/2016
17.9044,03/08/2016
17.7523,03/09/2016
17.8601,03/10/2016
17.7002,03/11/2016
17.7691,14/03/2016
17.926,15/03/2016
17.9308,16/03/2016
17.4034,17/03/2016
17.2995,18/03/2016
17.3361,22/03/2016
17.5273,23/03/2016
17.461,28/03/2016
17.4015,29/03/2016
17.2509,30/03/2016
17.237,31/03/2016
17.3338,04/01/2016
17.4484,04/04/2016
17.7252,04/05/2016
17.7286,04/06/2016
17.893,04/07/2016
17.7391,04/08/2016
17.6452,04/11/2016
17.5719,04/12/2016
17.49,13/04/2016
17.388,14/04/2016
17.5669,15/04/2016
17.4598,18/04/2016
17.2825,19/04/2016
17.3078,20/04/2016
17.4202,21/04/2016
17.4359,22/04/2016
17.5866,25/04/2016
17.4298,26/04/2016
17.3993,27/04/2016
17.2125,28/04/2016
17.1767,29/04/2016
17.2279,05/02/2016
17.5234,05/03/2016
17.7358,05/04/2016
17.7866,05/05/2016
17.9204,05/06/2016
18.1033,05/09/2016
18.0205,05/10/2016
17.9549,05/11/2016
17.9915,05/12/2016
18.1562,13/05/2016
18.1795,16/05/2016
18.3217,17/05/2016
18.3761,18/05/2016
18.5465,19/05/2016
18.3826,20/05/2016
18.4444,23/05/2016
18.4694,24/05/2016
18.452,25/05/2016
18.4572,26/05/2016
18.4527,27/05/2016
18.4777,30/05/2016
18.4118,31/05/2016
18.5299,06/01/2016
18.6097,06/02/2016
18.6283,06/03/2016
18.5889,06/06/2016
18.5067,06/07/2016
18.1491,06/08/2016
18.2742,06/09/2016
18.5046,06/10/2016
18.7915,13/06/2016
18.9814,14/06/2016
18.8672,15/06/2016
18.9968,16/06/2016
18.8527,17/06/2016
18.6559,20/06/2016
18.6444,21/06/2016
18.5325,22/06/2016
18.3207,23/06/2016
18.8716,24/06/2016
19.1283,27/06/2016
18.9113,28/06/2016
18.555,29/06/2016
18.4646,30/06/2016
18.309,07/01/2016
18.3858,07/04/2016
18.7536,07/05/2016
18.8161,07/06/2016
18.8607,07/07/2016
18.5991,07/08/2016
18.4597,07/11/2016
18.3006,07/12/2016
18.3937,13/07/2016
18.3061,14/07/2016
18.492,15/07/2016
18.4879,18/07/2016
18.5719,19/07/2016
18.5729,20/07/2016
18.6022,21/07/2016
18.6089,22/07/2016
18.7569,25/07/2016
18.8114,26/07/2016
18.8602,27/07/2016
18.8979,28/07/2016
18.7837,29/07/2016
18.8504,08/01/2016
18.8966,08/02/2016
18.9117,08/03/2016
18.8612,08/04/2016
18.8691,08/05/2016
18.5716,08/08/2016
18.3842,08/09/2016
18.3479,08/10/2016
18.2678,08/11/2016
18.2455,08/12/2016
18.0363,15/08/2016
17.9869,16/08/2016
18.2598,17/08/2016
18.0832,18/08/2016
18.2674,19/08/2016
18.3023,22/08/2016
18.3202,23/08/2016
18.4971,24/08/2016
18.446,25/08/2016
18.283,26/08/2016
18.5773,29/08/2016
18.7953,30/08/2016
18.8611,31/08/2016
